%
% Copyright (c) 1997-2009 Nokia Corporation and/or its subsidiary(-ies).
% All rights reserved.
% This component and the accompanying materials are made available
% under the terms of "Eclipse Public License v1.0"
% which accompanies this distribution, and is available
% at the URL "http://www.eclipse.org/legal/epl-v10.html".
%
% Initial Contributors:
% Nokia Corporation - initial contribution.
%
% Contributors:
%
% Description: 
963F ; [.4e01.0000.0007.963F] % °¢
547C ; [.5522.0000.0007.547C] % ºô
5FFD ; [.5523.0000.0007.5FFD] % ºö
70C0 ; [.5524.0000.0007.70C0] % ìÃ
8F77 ; [.5525.0000.0007.8F77] % éõ
553F ; [.5526.0000.0007.553F] % ßü
60DA ; [.5527.0000.0007.60DA] % ã±
6EF9 ; [.5528.0000.0007.6EF9] % äï
7CCA ; [.5529.0000.0007.7CCA] % ºý
56EB ; [.552a.0000.0007.56EB] % àñ
5F27 ; [.552b.0000.0007.5F27] % »¡
72D0 ; [.552c.0000.0007.72D0] % ºü
80E1 ; [.552d.0000.0007.80E1] % ºú
58F6 ; [.552e.0000.0007.58F6] % ºø
659B ; [.552f.0000.0007.659B] % õú
6E56 ; [.5530.0000.0007.6E56] % ºþ
7322 ; [.5531.0000.0007.7322] % â©
846B ; [.5532.0000.0007.846B] % ºù
7173 ; [.5533.0000.0007.7173] % ìÎ
745A ; [.5534.0000.0007.745A] % º÷
9E55 ; [.5535.0000.0007.9E55] % ðÉ
69F2 ; [.5536.0000.0007.69F2] % éÎ
8774 ; [.5537.0000.0007.8774] % ºû
9190 ; [.5538.0000.0007.9190] % õ­
89F3 ; [.5539.0000.0007.89F3] % ì²
864E ; [.553a.0000.0007.864E] % »¢
6D52 ; [.553b.0000.0007.6D52] % ä°
552C ; [.553c.0000.0007.552C] % »£
7425 ; [.553d.0000.0007.7425] % çú
4E92 ; [.553e.0000.0007.4E92] % »¥
6237 ; [.553f.0000.0007.6237] % »§
51B1 ; [.5540.0000.0007.51B1] % Ùü
62A4 ; [.5541.0000.0007.62A4] % »¤
6CAA ; [.5542.0000.0007.6CAA] % »¦
5CB5 ; [.5543.0000.0007.5CB5] % á²
6019 ; [.5544.0000.0007.6019] % âï
623D ; [.5545.0000.0007.623D] % ìæ
795C ; [.5546.0000.0007.795C] % ìï
7B0F ; [.5547.0000.0007.7B0F] % óË
6248 ; [.5548.0000.0007.6248] % ìè
74E0 ; [.5549.0000.0007.74E0] % ð­
9E71 ; [.554a.0000.0007.9E71] % ð×
82B1 ; [.554b.0000.0007.82B1] % »¨
5212 ; [.554c.0000.0007.5212] % »®
7809 ; [.554d.0000.0007.7809] % í¹
534E ; [.554e.0000.0007.534E] % »ª
54D7 ; [.554f.0000.0007.54D7] % »©
9A85 ; [.5550.0000.0007.9A85] % æè
94E7 ; [.5551.0000.0007.94E7] % îü
6ED1 ; [.5552.0000.0007.6ED1] % »¬
733E ; [.5553.0000.0007.733E] % »«
5316 ; [.5554.0000.0007.5316] % »¯
753B ; [.5555.0000.0007.753B] % »­
8BDD ; [.5556.0000.0007.8BDD] % »°
6866 ; [.5557.0000.0007.6866] % èë
6000 ; [.5558.0000.0007.6000] % »³
5F8A ; [.5559.0000.0007.5F8A] % »²
6DEE ; [.555a.0000.0007.6DEE] % »´
69D0 ; [.555b.0000.0007.69D0] % »±
8E1D ; [.555c.0000.0007.8E1D] % õ×
574F ; [.555d.0000.0007.574F] % »µ
6B22 ; [.555e.0000.0007.6B22] % »¶
737E ; [.555f.0000.0007.737E] % âµ
73AF ; [.5560.0000.0007.73AF] % »·
90C7 ; [.5561.0000.0007.90C7] % Û¨
6D39 ; [.5562.0000.0007.6D39] % ä¡
6853 ; [.5563.0000.0007.6853] % »¸
8411 ; [.5564.0000.0007.8411] % ÝÈ
953E ; [.5565.0000.0007.953E] % ïÌ
5BF0 ; [.5566.0000.0007.5BF0] % å¾
7F33 ; [.5567.0000.0007.7F33] % çÙ
9B1F ; [.5568.0000.0007.9B1F] % ÷ß
571C ; [.5569.0000.0007.571C] % à÷
7F13 ; [.556a.0000.0007.7F13] % »º
5E7B ; [.556b.0000.0007.5E7B] % »Ã
5942 ; [.556c.0000.0007.5942] % Û¼
5BA6 ; [.556d.0000.0007.5BA6] % »Â
5524 ; [.556e.0000.0007.5524] % »½
6362 ; [.556f.0000.0007.6362] % »»
6D63 ; [.5570.0000.0007.6D63] % ä½
6DA3 ; [.5571.0000.0007.6DA3] % »Á
60A3 ; [.5572.0000.0007.60A3] % »¼
7115 ; [.5573.0000.0007.7115] % »À
902D ; [.5574.0000.0007.902D] % åÕ
75EA ; [.5575.0000.0007.75EA] % »¾
8C62 ; [.5576.0000.0007.8C62] % »¿
6F36 ; [.5577.0000.0007.6F36] % äñ
9CA9 ; [.5578.0000.0007.9CA9] % öé
64D0 ; [.5579.0000.0007.64D0] % ß§
8093 ; [.557a.0000.0007.8093] % ëÁ
8352 ; [.557b.0000.0007.8352] % »Ä
614C ; [.557c.0000.0007.614C] % »Å
87E5 ; [.557d.0000.0007.87E5] % ó¨
7687 ; [.557e.0000.0007.7687] % »Ê
51F0 ; [.557f.0000.0007.51F0] % »Ë
968D ; [.5580.0000.0007.968D] % Úò
9EC4 ; [.5581.0000.0007.9EC4] % »Æ
5FA8 ; [.5582.0000.0007.5FA8] % áå
60F6 ; [.5583.0000.0007.60F6] % »Ì
6E5F ; [.5584.0000.0007.6E5F] % äÒ
9051 ; [.5585.0000.0007.9051] % åØ
714C ; [.5586.0000.0007.714C] % »Í
6F62 ; [.5587.0000.0007.6F62] % äê
749C ; [.5588.0000.0007.749C] % è«
7BC1 ; [.5589.0000.0007.7BC1] % óò
8757 ; [.558a.0000.0007.8757] % »È
7640 ; [.558b.0000.0007.7640] % ñ¥
78FA ; [.558c.0000.0007.78FA] % »Ç
7C27 ; [.558d.0000.0007.7C27] % »É
9CC7 ; [.558e.0000.0007.9CC7] % öü
604D ; [.558f.0000.0007.604D] % »Ð
6643 ; [.5590.0000.0007.6643] % »Î
8C0E ; [.5591.0000.0007.8C0E] % »Ñ
5E4C ; [.5592.0000.0007.5E4C] % »Ï
7070 ; [.5593.0000.0007.7070] % »Ò
54B4 ; [.5594.0000.0007.54B4] % ßÔ
6062 ; [.5595.0000.0007.6062] % »Ö
6325 ; [.5596.0000.0007.6325] % »Ó
6656 ; [.5597.0000.0007.6656] % êÍ
73F2 ; [.5598.0000.0007.73F2] % çõ
8F89 ; [.5599.0000.0007.8F89] % »Ô
9EBE ; [.559a.0000.0007.9EBE] % ÷â
5FBD ; [.559b.0000.0007.5FBD] % »Õ
96B3 ; [.559c.0000.0007.96B3] % ãÄ
56DE ; [.559d.0000.0007.56DE] % »Ø
6D04 ; [.559e.0000.0007.6D04] % ä§
8334 ; [.559f.0000.0007.8334] % Üî
86D4 ; [.55a0.0000.0007.86D4] % »×
867A ; [.55a1.0000.0007.867A] % ò³
6094 ; [.55a2.0000.0007.6094] % »Ú
6BC1 ; [.55a3.0000.0007.6BC1] % »Ù
8BD9 ; [.55a4.0000.0007.8BD9] % Ú¶
5349 ; [.55a5.0000.0007.5349] % »Ü
6C47 ; [.55a6.0000.0007.6C47] % »ã
4F1A ; [.55a7.0000.0007.4F1A] % »á
8BB3 ; [.55a8.0000.0007.8BB3] % »ä
6D4D ; [.55a9.0000.0007.6D4D] % ä«
7ED8 ; [.55aa.0000.0007.7ED8] % »æ
835F ; [.55ab.0000.0007.835F] % Üö
8BF2 ; [.55ac.0000.0007.8BF2] % »å
605A ; [.55ad.0000.0007.605A] % í£
70E9 ; [.55ae.0000.0007.70E9] % »â
8D3F ; [.55af.0000.0007.8D3F] % »ß
5F57 ; [.55b0.0000.0007.5F57] % åç
6666 ; [.55b1.0000.0007.6666] % »Þ
79FD ; [.55b2.0000.0007.79FD] % »à
5599 ; [.55b3.0000.0007.5599] % à¹
60E0 ; [.55b4.0000.0007.60E0] % »Ý
7F0B ; [.55b5.0000.0007.7F0B] % çÀ
6167 ; [.55b6.0000.0007.6167] % »Û
8559 ; [.55b7.0000.0007.8559] % Þ¥
87EA ; [.55b8.0000.0007.87EA] % ó³
660F ; [.55b9.0000.0007.660F] % »è
8364 ; [.55ba.0000.0007.8364] % »ç
5A5A ; [.55bb.0000.0007.5A5A] % »é
960D ; [.55bc.0000.0007.960D] % ãÔ
6D51 ; [.55bd.0000.0007.6D51] % »ë
9984 ; [.55be.0000.0007.9984] % âÆ
9B42 ; [.55bf.0000.0007.9B42] % »ê
8BE8 ; [.55c0.0000.0007.8BE8] % Ú»
6DF7 ; [.55c1.0000.0007.6DF7] % »ì
6EB7 ; [.55c2.0000.0007.6EB7] % äã
8020 ; [.55c3.0000.0007.8020] % ñë
5290 ; [.55c4.0000.0007.5290] % Øå
8C41 ; [.55c5.0000.0007.8C41] % »í
6509 ; [.55c6.0000.0007.6509] % ß«
6D3B ; [.55c7.0000.0007.6D3B] % »î
706C ; [.55c8.0000.0007.706C] % ìá
706B ; [.55c9.0000.0007.706B] % »ð
4F19 ; [.55ca.0000.0007.4F19] % »ï
94AC ; [.55cb.0000.0007.94AC] % îØ
5925 ; [.55cc.0000.0007.5925] % â·
952A ; [.55cd.0000.0007.952A] % ïÁ
6216 ; [.55ce.0000.0007.6216] % »ò
8D27 ; [.55cf.0000.0007.8D27] % »õ
83B7 ; [.55d0.0000.0007.83B7] % »ñ
7978 ; [.55d1.0000.0007.7978] % »ö
60D1 ; [.55d2.0000.0007.60D1] % »ó
970D ; [.55d3.0000.0007.970D] % »ô
956C ; [.55d4.0000.0007.956C] % ïì
56AF ; [.55d5.0000.0007.56AF] % àë
85FF ; [.55d6.0000.0007.85FF] % Þ½
8816 ; [.55d7.0000.0007.8816] % ó¶
8BA5 ; [.55d8.0000.0007.8BA5] % ¼¥
51FB ; [.55d9.0000.0007.51FB] % »÷
53FD ; [.55da.0000.0007.53FD] % ß´
9965 ; [.55db.0000.0007.9965] % ¼¢
4E69 ; [.55dc.0000.0007.4E69] % ØÀ
573E ; [.55dd.0000.0007.573E] % »ø
673A ; [.55de.0000.0007.673A] % »ú
7391 ; [.55df.0000.0007.7391] % çá
808C ; [.55e0.0000.0007.808C] % ¼¡
82A8 ; [.55e1.0000.0007.82A8] % Ü¸
77F6 ; [.55e2.0000.0007.77F6] % í¶
9E21 ; [.55e3.0000.0007.9E21] % ¼¦
54AD ; [.55e4.0000.0007.54AD] % ßÒ
525E ; [.55e5.0000.0007.525E] % ØÞ
5527 ; [.55e6.0000.0007.5527] % ßó
59EC ; [.55e7.0000.0007.59EC] % ¼§
5C50 ; [.55e8.0000.0007.5C50] % åì
79EF ; [.55e9.0000.0007.79EF] % »ý
7B04 ; [.55ea.0000.0007.7B04] % óÇ
57FA ; [.55eb.0000.0007.57FA] % »ù
7284 ; [.55ec.0000.0007.7284] % ê÷
7F09 ; [.55ed.0000.0007.7F09] % ¼©
8D4D ; [.55ee.0000.0007.8D4D] % êå
7578 ; [.55ef.0000.0007.7578] % »û
8DFB ; [.55f0.0000.0007.8DFB] % õÒ
7B95 ; [.55f1.0000.0007.7B95] % »þ
757F ; [.55f2.0000.0007.757F] % çÜ
7A3D ; [.55f3.0000.0007.7A3D] % »ü
9F51 ; [.55f4.0000.0007.9F51] % ì´
58BC ; [.55f5.0000.0007.58BC] % ÛÔ
6FC0 ; [.55f6.0000.0007.6FC0] % ¼¤
7F81 ; [.55f7.0000.0007.7F81] % î¿
5AC9 ; [.55f8.0000.0007.5AC9] % ¼µ
51E0 ; [.55f9.0000.0007.51E0] % ¼¸
5D47 ; [.55fa.0000.0007.5D47] % ïú
53CA ; [.55fb.0000.0007.53CA] % ¼°
5409 ; [.55fc.0000.0007.5409] % ¼ª
5C8C ; [.55fd.0000.0007.5C8C] % á§
6C72 ; [.55fe.0000.0007.6C72] % ¼³
7EA7 ; [.55ff.0000.0007.7EA7] % ¼¶
5373 ; [.5600.0000.0007.5373] % ¼´
6781 ; [.5601.0000.0007.6781] % ¼«
4E9F ; [.5602.0000.0007.4E9F] % Ø½
4F76 ; [.5603.0000.0007.4F76] % Ù¥
6025 ; [.5604.0000.0007.6025] % ¼±
7B08 ; [.5605.0000.0007.7B08] % óÅ
75BE ; [.5606.0000.0007.75BE] % ¼²
6222 ; [.5607.0000.0007.6222] % ê«
68D8 ; [.5608.0000.0007.68D8] % ¼¬
6B9B ; [.5609.0000.0007.6B9B] % éê
96C6 ; [.560a.0000.0007.96C6] % ¼¯
696B ; [.560b.0000.0007.696B] % é®
84BA ; [.560c.0000.0007.84BA] % Ýð
8F91 ; [.560d.0000.0007.8F91] % ¼­
7620 ; [.560e.0000.0007.7620] % ñ¤
857A ; [.560f.0000.0007.857A] % Þª
7C4D ; [.5610.0000.0007.7C4D] % ¼®
8BD8 ; [.5611.0000.0007.8BD8] % Úµ
5DF1 ; [.5612.0000.0007.5DF1] % ¼º
866E ; [.5613.0000.0007.866E] % ò±
6324 ; [.5614.0000.0007.6324] % ¼·
810A ; [.5615.0000.0007.810A] % ¼¹
638E ; [.5616.0000.0007.638E] % Þá
621F ; [.5617.0000.0007.621F] % êª
5D74 ; [.5618.0000.0007.5D74] % áÕ
9E82 ; [.5619.0000.0007.9E82] % ÷ä
8FF9 ; [.561a.0000.0007.8FF9] % ¼£
7EE9 ; [.561b.0000.0007.7EE9] % ¼¨
8BA1 ; [.561c.0000.0007.8BA1] % ¼Æ
8BB0 ; [.561d.0000.0007.8BB0] % ¼Ç
4F0E ; [.561e.0000.0007.4F0E] % ¼¿
7EAA ; [.561f.0000.0007.7EAA] % ¼Í
5993 ; [.5620.0000.0007.5993] % ¼Ë
5FCC ; [.5621.0000.0007.5FCC] % ¼É
6280 ; [.5622.0000.0007.6280] % ¼¼
82B0 ; [.5623.0000.0007.82B0] % ÜÁ
9645 ; [.5624.0000.0007.9645] % ¼Ê
5242 ; [.5625.0000.0007.5242] % ¼Á
5B63 ; [.5626.0000.0007.5B63] % ¼¾
54DC ; [.5627.0000.0007.54DC] % ßâ
65E2 ; [.5628.0000.0007.65E2] % ¼È
6D0E ; [.5629.0000.0007.6D0E] % ä©
6D4E ; [.562a.0000.0007.6D4E] % ¼Ã
7EE7 ; [.562b.0000.0007.7EE7] % ¼Ì
89CA ; [.562c.0000.0007.89CA] % êé
5048 ; [.562d.0000.0007.5048] % ÙÊ
5BC2 ; [.562e.0000.0007.5BC2] % ¼Å
5BC4 ; [.562f.0000.0007.5BC4] % ¼Ä
60B8 ; [.5630.0000.0007.60B8] % ¼Â
796D ; [.5631.0000.0007.796D] % ¼À
84DF ; [.5632.0000.0007.84DF] % ¼»
66A8 ; [.5633.0000.0007.66A8] % ôß
8DFD ; [.5634.0000.0007.8DFD] % õÕ
9701 ; [.5635.0000.0007.9701] % ö«
9C9A ; [.5636.0000.0007.9C9A] % öÝ
7A37 ; [.5637.0000.0007.7A37] % ð¢
9CAB ; [.5638.0000.0007.9CAB] % öê
5180 ; [.5639.0000.0007.5180] % ¼½
9AFB ; [.563a.0000.0007.9AFB] % ÷Ù
9AA5 ; [.563b.0000.0007.9AA5] % æ÷
8360 ; [.563c.0000.0007.8360] % Üù
4F3D ; [.563d.0000.0007.4F3D] % Ù¤
52A0 ; [.563e.0000.0007.52A0] % ¼Ó
5939 ; [.563f.0000.0007.5939] % ¼Ð
4F73 ; [.5640.0000.0007.4F73] % ¼Ñ
8FE6 ; [.5641.0000.0007.8FE6] % åÈ
67B7 ; [.5642.0000.0007.67B7] % ¼Ï
6D43 ; [.5643.0000.0007.6D43] % ä¤
73C8 ; [.5644.0000.0007.73C8] % çì
5BB6 ; [.5645.0000.0007.5BB6] % ¼Ò
75C2 ; [.5646.0000.0007.75C2] % ðè
7B33 ; [.5647.0000.0007.7B33] % óÕ
8888 ; [.5648.0000.0007.8888] % ôÂ
846D ; [.5649.0000.0007.846D] % Ýç
8DCF ; [.564a.0000.0007.8DCF] % õÊ
5609 ; [.564b.0000.0007.5609] % ¼Î
9553 ; [.564c.0000.0007.9553] % ïØ
88B7 ; [.564d.0000.0007.88B7] % ñÊ
90CF ; [.564e.0000.0007.90CF] % Û£
835A ; [.564f.0000.0007.835A] % ¼Ô
605D ; [.5650.0000.0007.605D] % í¢
621B ; [.5651.0000.0007.621B] % ê©
94D7 ; [.5652.0000.0007.94D7] % îò
86F1 ; [.5653.0000.0007.86F1] % òÌ
988A ; [.5654.0000.0007.988A] % ¼Õ
5CAC ; [.5655.0000.0007.5CAC] % áµ
7532 ; [.5656.0000.0007.7532] % ¼×
80DB ; [.5657.0000.0007.80DB] % ëÎ
8D3E ; [.5658.0000.0007.8D3E] % ¼Ö
94BE ; [.5659.0000.0007.94BE] % ¼Ø
7615 ; [.565a.0000.0007.7615] % ðý
5047 ; [.565b.0000.0007.5047] % ¼Ù
4EF7 ; [.565c.0000.0007.4EF7] % ¼Û
9A7E ; [.565d.0000.0007.9A7E] % ¼Ý
67B6 ; [.565e.0000.0007.67B6] % ¼Ü
5AC1 ; [.565f.0000.0007.5AC1] % ¼Þ
7A3C ; [.5660.0000.0007.7A3C] % ¼Ú
620B ; [.5661.0000.0007.620B] % ê§
5978 ; [.5662.0000.0007.5978] % ¼é
5C16 ; [.5663.0000.0007.5C16] % ¼â
575A ; [.5664.0000.0007.575A] % ¼á
6B7C ; [.5665.0000.0007.6B7C] % ¼ß
95F4 ; [.5666.0000.0007.95F4] % ¼ä
80A9 ; [.5667.0000.0007.80A9] % ¼ç
8270 ; [.5668.0000.0007.8270] % ¼è
517C ; [.5669.0000.0007.517C] % ¼æ
76D1 ; [.566a.0000.0007.76D1] % ¼à
7B3A ; [.566b.0000.0007.7B3A] % ¼ã
83C5 ; [.566c.0000.0007.83C5] % ÝÑ
6E54 ; [.566d.0000.0007.6E54] % äÕ
728D ; [.566e.0000.0007.728D] % êù
7F04 ; [.566f.0000.0007.7F04] % ¼ê
641B ; [.5670.0000.0007.641B] % Þö
714E ; [.5671.0000.0007.714E] % ¼å
7F23 ; [.5672.0000.0007.7F23] % çÌ
84B9 ; [.5673.0000.0007.84B9] % Ýó
9CA3 ; [.5674.0000.0007.9CA3] % öä
9E63 ; [.5675.0000.0007.9E63] % ðÏ
97AF ; [.5676.0000.0007.97AF] % ÷µ
56DD ; [.5677.0000.0007.56DD] % àî
62E3 ; [.5678.0000.0007.62E3] % ¼ð
67A7 ; [.5679.0000.0007.67A7] % èÅ
4FED ; [.567a.0000.0007.4FED] % ¼ó
67EC ; [.567b.0000.0007.67EC] % ¼í
8327 ; [.567c.0000.0007.8327] % ¼ë
6361 ; [.567d.0000.0007.6361] % ¼ñ
7B15 ; [.567e.0000.0007.7B15] % óÈ
51CF ; [.567f.0000.0007.51CF] % ¼õ
526A ; [.5680.0000.0007.526A] % ¼ô
68C0 ; [.5681.0000.0007.68C0] % ¼ì
8DBC ; [.5682.0000.0007.8DBC] % õÂ
7751 ; [.5683.0000.0007.7751] % íú
7877 ; [.5684.0000.0007.7877] % ¼ï
88E5 ; [.5685.0000.0007.88E5] % ñÐ
950F ; [.5686.0000.0007.950F] % ïµ
7B80 ; [.5687.0000.0007.7B80] % ¼ò
8C2B ; [.5688.0000.0007.8C2B] % ÚÙ
622C ; [.5689.0000.0007.622C] % ê¯
78B1 ; [.568a.0000.0007.78B1] % ¼î
7FE6 ; [.568b.0000.0007.7FE6] % ôå
8B07 ; [.568c.0000.0007.8B07] % åÀ
8E47 ; [.568d.0000.0007.8E47] % å¿
89C1 ; [.568e.0000.0007.89C1] % ¼û
4EF6 ; [.568f.0000.0007.4EF6] % ¼þ
5EFA ; [.5690.0000.0007.5EFA] % ½¨
996F ; [.5691.0000.0007.996F] % ½¤
5251 ; [.5692.0000.0007.5251] % ½£
726E ; [.5693.0000.0007.726E] % êð
8350 ; [.5694.0000.0007.8350] % ¼ö
8D31 ; [.5695.0000.0007.8D31] % ¼ú
5065 ; [.5696.0000.0007.5065] % ½¡
6DA7 ; [.5697.0000.0007.6DA7] % ½§
8230 ; [.5698.0000.0007.8230] % ½¢
6E10 ; [.5699.0000.0007.6E10] % ½¥
8C0F ; [.569a.0000.0007.8C0F] % ÚÉ
6957 ; [.569b.0000.0007.6957] % é¥
6BFD ; [.569c.0000.0007.6BFD] % ë¦
6E85 ; [.569d.0000.0007.6E85] % ½¦
8171 ; [.569e.0000.0007.8171] % ëì
8DF5 ; [.569f.0000.0007.8DF5] % ¼ù
9274 ; [.56a0.0000.0007.9274] % ¼ø
952E ; [.56a1.0000.0007.952E] % ¼ü
50ED ; [.56a2.0000.0007.50ED] % ÙÔ
7BAD ; [.56a3.0000.0007.7BAD] % ¼ý
8E3A ; [.56a4.0000.0007.8E3A] % õÝ
6C5F ; [.56a5.0000.0007.6C5F] % ½­
59DC ; [.56a6.0000.0007.59DC] % ½ª
5C06 ; [.56a7.0000.0007.5C06] % ½«
8333 ; [.56a8.0000.0007.8333] % Üü
6D46 ; [.56a9.0000.0007.6D46] % ½¬
8C47 ; [.56aa.0000.0007.8C47] % ôø
50F5 ; [.56ab.0000.0007.50F5] % ½©
7F30 ; [.56ac.0000.0007.7F30] % çÖ
7913 ; [.56ad.0000.0007.7913] % íä
7586 ; [.56ae.0000.0007.7586] % ½®
8BB2 ; [.56af.0000.0007.8BB2] % ½²
5956 ; [.56b0.0000.0007.5956] % ½±
6868 ; [.56b1.0000.0007.6868] % ½°
848B ; [.56b2.0000.0007.848B] % ½¯
8029 ; [.56b3.0000.0007.8029] % ñð
5320 ; [.56b4.0000.0007.5320] % ½³
964D ; [.56b5.0000.0007.964D] % ½µ
6D1A ; [.56b6.0000.0007.6D1A] % ä®
7EDB ; [.56b7.0000.0007.7EDB] % ç­
9171 ; [.56b8.0000.0007.9171] % ½´
729F ; [.56b9.0000.0007.729F] % êñ
7CE8 ; [.56ba.0000.0007.7CE8] % ôÝ
4EA4 ; [.56bb.0000.0007.4EA4] % ½»
90CA ; [.56bc.0000.0007.90CA] % ½¼
59E3 ; [.56bd.0000.0007.59E3] % æ¯
5A07 ; [.56be.0000.0007.5A07] % ½¿
6D47 ; [.56bf.0000.0007.6D47] % ½½
832D ; [.56c0.0000.0007.832D] % Üú
9A84 ; [.56c1.0000.0007.9A84] % ½¾
80F6 ; [.56c2.0000.0007.80F6] % ½º
6912 ; [.56c3.0000.0007.6912] % ½·
7126 ; [.56c4.0000.0007.7126] % ½¹
86DF ; [.56c5.0000.0007.86DF] % òÔ
8DE4 ; [.56c6.0000.0007.8DE4] % õÓ
50EC ; [.56c7.0000.0007.50EC] % ÙÕ
9C9B ; [.56c8.0000.0007.9C9B] % öÞ
8549 ; [.56c9.0000.0007.8549] % ½¶
7901 ; [.56ca.0000.0007.7901] % ½¸
9E6A ; [.56cb.0000.0007.9E6A] % ðÔ
56BC ; [.56cc.0000.0007.56BC] % ½À
89D2 ; [.56cd.0000.0007.89D2] % ½Ç
4F7C ; [.56ce.0000.0007.4F7C] % Ù®
4FA5 ; [.56cf.0000.0007.4FA5] % ½Ä
6322 ; [.56d0.0000.0007.6322] % ÞØ
72E1 ; [.56d1.0000.0007.72E1] % ½Æ
7EDE ; [.56d2.0000.0007.7EDE] % ½Ê
997A ; [.56d3.0000.0007.997A] % ½È
768E ; [.56d4.0000.0007.768E] % ð¨
77EB ; [.56d5.0000.0007.77EB] % ½Ã
811A ; [.56d6.0000.0007.811A] % ½Å
94F0 ; [.56d7.0000.0007.94F0] % ½Â
6405 ; [.56d8.0000.0007.6405] % ½Á
6E6B ; [.56d9.0000.0007.6E6B] % äÐ
527F ; [.56da.0000.0007.527F] % ½Ë
656B ; [.56db.0000.0007.656B] % ë¸
5FBC ; [.56dc.0000.0007.5FBC] % áè
7F34 ; [.56dd.0000.0007.7F34] % ½É
53EB ; [.56de.0000.0007.53EB] % ½Ð
8F7F ; [.56df.0000.0007.8F7F] % ½Î
8F83 ; [.56e0.0000.0007.8F83] % ½Ï
6559 ; [.56e1.0000.0007.6559] % ½Ì
7A96 ; [.56e2.0000.0007.7A96] % ½Ñ
9175 ; [.56e3.0000.0007.9175] % ½Í
564D ; [.56e4.0000.0007.564D] % àÝ
91AE ; [.56e5.0000.0007.91AE] % õ´
9636 ; [.56e6.0000.0007.9636] % ½×
7596 ; [.56e7.0000.0007.7596] % ðÜ
7686 ; [.56e8.0000.0007.7686] % ½Ô
63A5 ; [.56e9.0000.0007.63A5] % ½Ó
79F8 ; [.56ea.0000.0007.79F8] % ½Õ
5588 ; [.56eb.0000.0007.5588] % à®
55DF ; [.56ec.0000.0007.55DF] % àµ
63ED ; [.56ed.0000.0007.63ED] % ½Ò
8857 ; [.56ee.0000.0007.8857] % ½Ö
5369 ; [.56ef.0000.0007.5369] % Úà
5B51 ; [.56f0.0000.0007.5B51] % æÝ
8282 ; [.56f1.0000.0007.8282] % ½Ú
8BA6 ; [.56f2.0000.0007.8BA6] % Ú¦
52AB ; [.56f3.0000.0007.52AB] % ½Ù
6770 ; [.56f4.0000.0007.6770] % ½Ü
62EE ; [.56f5.0000.0007.62EE] % Þ×
6D01 ; [.56f6.0000.0007.6D01] % ½à
7ED3 ; [.56f7.0000.0007.7ED3] % ½á
6840 ; [.56f8.0000.0007.6840] % èî
5A55 ; [.56f9.0000.0007.5A55] % æ¼
6377 ; [.56fa.0000.0007.6377] % ½Ý
9889 ; [.56fb.0000.0007.9889] % ò¡
776B ; [.56fc.0000.0007.776B] % ½Þ
622A ; [.56fd.0000.0007.622A] % ½Ø
78A3 ; [.56fe.0000.0007.78A3] % íÙ
7AED ; [.56ff.0000.0007.7AED] % ½ß
9C92 ; [.5700.0000.0007.9C92] % öÚ
7FAF ; [.5701.0000.0007.7FAF] % ôÉ
6854 ; [.5702.0000.0007.6854] % ½Û
59D0 ; [.5703.0000.0007.59D0] % ½ã
89E3 ; [.5704.0000.0007.89E3] % ½â
4ECB ; [.5705.0000.0007.4ECB] % ½é
6212 ; [.5706.0000.0007.6212] % ½ä
82A5 ; [.5707.0000.0007.82A5] % ½æ
5C4A ; [.5708.0000.0007.5C4A] % ½ì
754C ; [.5709.0000.0007.754C] % ½ç
75A5 ; [.570a.0000.0007.75A5] % ½ê
8BEB ; [.570b.0000.0007.8BEB] % ½ë
501F ; [.570c.0000.0007.501F] % ½è
86A7 ; [.570d.0000.0007.86A7] % ò»
9AB1 ; [.570e.0000.0007.9AB1] % ÷º
85C9 ; [.570f.0000.0007.85C9] % ½å
5DFE ; [.5710.0000.0007.5DFE] % ½í
4ECA ; [.5711.0000.0007.4ECA] % ½ñ
65A4 ; [.5712.0000.0007.65A4] % ½ï
9485 ; [.5713.0000.0007.9485] % îÄ
91D1 ; [.5714.0000.0007.91D1] % ½ð
6D25 ; [.5715.0000.0007.6D25] % ½ò
77DC ; [.5716.0000.0007.77DC] % ñæ
887F ; [.5717.0000.0007.887F] % ñÆ
7B4B ; [.5718.0000.0007.7B4B] % ½î
895F ; [.5719.0000.0007.895F] % ½ó
5807 ; [.571a.0000.0007.5807] % ÝÀ
7981 ; [.571b.0000.0007.7981] % ½û
4EC5 ; [.571c.0000.0007.4EC5] % ½ö
537A ; [.571d.0000.0007.537A] % Úá
7D27 ; [.571e.0000.0007.7D27] % ½ô
8C28 ; [.571f.0000.0007.8C28] % ½÷
9526 ; [.5720.0000.0007.9526] % ½õ
5ED1 ; [.5721.0000.0007.5ED1] % âÛ
9991 ; [.5722.0000.0007.9991] % âË
69FF ; [.5723.0000.0007.69FF] % éÈ
747E ; [.5724.0000.0007.747E] % èª
5C3D ; [.5725.0000.0007.5C3D] % ¾¡
52B2 ; [.5726.0000.0007.52B2] % ¾¢
5997 ; [.5727.0000.0007.5997] % æ¡
8FD1 ; [.5728.0000.0007.8FD1] % ½ü
8FDB ; [.5729.0000.0007.8FDB] % ½ø
8369 ; [.572a.0000.0007.8369] % Ý£
664B ; [.572b.0000.0007.664B] % ½ú
