% compkeys-2.1.9d5.txt
% Created: 1999-Jun-06
% Posted:  1999-Jun-06
% Derived from: unidata-2.1.9d5.txt
% Sifter version: 2.8 1999-Jun-06
2.1.9d5 % version

203C ; [*021E.0020.0004.0021] [*021E.0020.0004.0021] % DOUBLE EXCLAMATION MARK; COMPATSEQ
246A ; [.06C6.0020.0006.0031] [.06C6.0020.0006.0031] % CIRCLED NUMBER ELEVEN; COMPATSEQ
246B ; [.06C6.0020.0006.0031] [.06C7.0020.0006.0032] % CIRCLED NUMBER TWELVE; COMPATSEQ
246C ; [.06C6.0020.0006.0031] [.06C8.0020.0006.0033] % CIRCLED NUMBER THIRTEEN; COMPATSEQ
246D ; [.06C6.0020.0006.0031] [.06C9.0020.0006.0034] % CIRCLED NUMBER FOURTEEN; COMPATSEQ
246E ; [.06C6.0020.0006.0031] [.06CA.0020.0006.0035] % CIRCLED NUMBER FIFTEEN; COMPATSEQ
246F ; [.06C6.0020.0006.0031] [.06CB.0020.0006.0036] % CIRCLED NUMBER SIXTEEN; COMPATSEQ
2470 ; [.06C6.0020.0006.0031] [.06CC.0020.0006.0037] % CIRCLED NUMBER SEVENTEEN; COMPATSEQ
2471 ; [.06C6.0020.0006.0031] [.06CD.0020.0006.0038] % CIRCLED NUMBER EIGHTEEN; COMPATSEQ
2472 ; [.06C6.0020.0006.0031] [.06CE.0020.0006.0039] % CIRCLED NUMBER NINETEEN; COMPATSEQ
215F ; [.06C6.0020.001E.0031] [*0266.0020.001E.2044] % FRACTION NUMERATOR ONE; COMPATSEQ
00BD ; [.06C6.0020.001E.0031] [*0266.0020.001E.2044] [.06C7.0020.001E.0032] % VULGAR FRACTION ONE HALF; COMPATSEQ
2153 ; [.06C6.0020.001E.0031] [*0266.0020.001E.2044] [.06C8.0020.001E.0033] % VULGAR FRACTION ONE THIRD; COMPATSEQ
00BC ; [.06C6.0020.001E.0031] [*0266.0020.001E.2044] [.06C9.0020.001E.0034] % VULGAR FRACTION ONE QUARTER; COMPATSEQ
2155 ; [.06C6.0020.001E.0031] [*0266.0020.001E.2044] [.06CA.0020.001E.0035] % VULGAR FRACTION ONE FIFTH; COMPATSEQ
2159 ; [.06C6.0020.001E.0031] [*0266.0020.001E.2044] [.06CB.0020.001E.0036] % VULGAR FRACTION ONE SIXTH; COMPATSEQ
215B ; [.06C6.0020.001E.0031] [*0266.0020.001E.2044] [.06CD.0020.001E.0038] % VULGAR FRACTION ONE EIGHTH; COMPATSEQ
2489 ; [.06C7.0020.0004.0032] [*0226.0020.0004.002E] % DIGIT TWO FULL STOP; COMPATSEQ
249B ; [.06C7.0020.0004.0032] [.06C5.0020.0004.0030] [*0226.0020.0004.002E] % NUMBER TWENTY FULL STOP; COMPATSEQ
33F3 ; [.06C7.0020.0004.0032] [.06C5.0020.0004.0030] [.65E5.0020.0004.65E5] % IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWENTY; COMPATSEQ
336C ; [.06C7.0020.0004.0032] [.06C5.0020.0004.0030] [.70B9.0020.0004.70B9] % IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR TWENTY; COMPATSEQ
33F4 ; [.06C7.0020.0004.0032] [.06C6.0020.0004.0031] [.65E5.0020.0004.65E5] % IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWENTY-ONE; COMPATSEQ
336D ; [.06C7.0020.0004.0032] [.06C6.0020.0004.0031] [.70B9.0020.0004.70B9] % IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR TWENTY-ONE; COMPATSEQ
33F5 ; [.06C7.0020.0004.0032] [.06C7.0020.0004.0032] [.65E5.0020.0004.65E5] % IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWENTY-TWO; COMPATSEQ
336E ; [.06C7.0020.0004.0032] [.06C7.0020.0004.0032] [.70B9.0020.0004.70B9] % IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR TWENTY-TWO; COMPATSEQ
33F6 ; [.06C7.0020.0004.0032] [.06C8.0020.0004.0033] [.65E5.0020.0004.65E5] % IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWENTY-THREE; COMPATSEQ
336F ; [.06C7.0020.0004.0032] [.06C8.0020.0004.0033] [.70B9.0020.0004.70B9] % IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR TWENTY-THREE; COMPATSEQ
33F7 ; [.06C7.0020.0004.0032] [.06C9.0020.0004.0034] [.65E5.0020.0004.65E5] % IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWENTY-FOUR; COMPATSEQ
3370 ; [.06C7.0020.0004.0032] [.06C9.0020.0004.0034] [.70B9.0020.0004.70B9] % IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR TWENTY-FOUR; COMPATSEQ
33F8 ; [.06C7.0020.0004.0032] [.06CA.0020.0004.0035] [.65E5.0020.0004.65E5] % IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWENTY-FIVE; COMPATSEQ
33F9 ; [.06C7.0020.0004.0032] [.06CB.0020.0004.0036] [.65E5.0020.0004.65E5] % IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWENTY-SIX; COMPATSEQ
33FA ; [.06C7.0020.0004.0032] [.06CC.0020.0004.0037] [.65E5.0020.0004.65E5] % IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWENTY-SEVEN; COMPATSEQ
33FB ; [.06C7.0020.0004.0032] [.06CD.0020.0004.0038] [.65E5.0020.0004.65E5] % IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWENTY-EIGHT; COMPATSEQ
33FC ; [.06C7.0020.0004.0032] [.06CE.0020.0004.0039] [.65E5.0020.0004.65E5] % IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWENTY-NINE; COMPATSEQ
33E1 ; [.06C7.0020.0004.0032] [.65E5.0020.0004.65E5] % IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWO; COMPATSEQ
32C1 ; [.06C7.0020.0004.0032] [.6708.0020.0004.6708] % IDEOGRAPHIC TELEGRAPH SYMBOL FOR FEBRUARY; COMPATSEQ
335A ; [.06C7.0020.0004.0032] [.70B9.0020.0004.70B9] % IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR TWO; COMPATSEQ
2473 ; [.06C7.0020.0006.0032] [.06C5.0020.0006.0030] % CIRCLED NUMBER TWENTY; COMPATSEQ
2154 ; [.06C7.0020.001E.0032] [*0266.0020.001E.2044] [.06C8.0020.001E.0033] % VULGAR FRACTION TWO THIRDS; COMPATSEQ
2156 ; [.06C7.0020.001E.0032] [*0266.0020.001E.2044] [.06CA.0020.001E.0035] % VULGAR FRACTION TWO FIFTHS; COMPATSEQ
248A ; [.06C8.0020.0004.0033] [*0226.0020.0004.002E] % DIGIT THREE FULL STOP; COMPATSEQ
33FD ; [.06C8.0020.0004.0033] [.06C5.0020.0004.0030] [.65E5.0020.0004.65E5] % IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY THIRTY; COMPATSEQ
33FE ; [.06C8.0020.0004.0033] [.06C6.0020.0004.0031] [.65E5.0020.0004.65E5] % IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY THIRTY-ONE; COMPATSEQ
33E2 ; [.06C8.0020.0004.0033] [.65E5.0020.0004.65E5] % IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY THREE; COMPATSEQ
32C2 ; [.06C8.0020.0004.0033] [.6708.0020.0004.6708] % IDEOGRAPHIC TELEGRAPH SYMBOL FOR MARCH; COMPATSEQ
335B ; [.06C8.0020.0004.0033] [.70B9.0020.0004.70B9] % IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR THREE; COMPATSEQ
00BE ; [.06C8.0020.001E.0033] [*0266.0020.001E.2044] [.06C9.0020.001E.0034] % VULGAR FRACTION THREE QUARTERS; COMPATSEQ
2157 ; [.06C8.0020.001E.0033] [*0266.0020.001E.2044] [.06CA.0020.001E.0035] % VULGAR FRACTION THREE FIFTHS; COMPATSEQ
215C ; [.06C8.0020.001E.0033] [*0266.0020.001E.2044] [.06CD.0020.001E.0038] % VULGAR FRACTION THREE EIGHTHS; COMPATSEQ
248B ; [.06C9.0020.0004.0034] [*0226.0020.0004.002E] % DIGIT FOUR FULL STOP; COMPATSEQ
33E3 ; [.06C9.0020.0004.0034] [.65E5.0020.0004.65E5] % IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY FOUR; COMPATSEQ
32C3 ; [.06C9.0020.0004.0034] [.6708.0020.0004.6708] % IDEOGRAPHIC TELEGRAPH SYMBOL FOR APRIL; COMPATSEQ
335C ; [.06C9.0020.0004.0034] [.70B9.0020.0004.70B9] % IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR FOUR; COMPATSEQ
2158 ; [.06C9.0020.001E.0034] [*0266.0020.001E.2044] [.06CA.0020.001E.0035] % VULGAR FRACTION FOUR FIFTHS; COMPATSEQ
248C ; [.06CA.0020.0004.0035] [*0226.0020.0004.002E] % DIGIT FIVE FULL STOP; COMPATSEQ
33E4 ; [.06CA.0020.0004.0035] [.65E5.0020.0004.65E5] % IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY FIVE; COMPATSEQ
32C4 ; [.06CA.0020.0004.0035] [.6708.0020.0004.6708] % IDEOGRAPHIC TELEGRAPH SYMBOL FOR MAY; COMPATSEQ
335D ; [.06CA.0020.0004.0035] [.70B9.0020.0004.70B9] % IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR FIVE; COMPATSEQ
215A ; [.06CA.0020.001E.0035] [*0266.0020.001E.2044] [.06CB.0020.001E.0036] % VULGAR FRACTION FIVE SIXTHS; COMPATSEQ
215D ; [.06CA.0020.001E.0035] [*0266.0020.001E.2044] [.06CD.0020.001E.0038] % VULGAR FRACTION FIVE EIGHTHS; COMPATSEQ
248D ; [.06CB.0020.0004.0036] [*0226.0020.0004.002E] % DIGIT SIX FULL STOP; COMPATSEQ
33E5 ; [.06CB.0020.0004.0036] [.65E5.0020.0004.65E5] % IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY SIX; COMPATSEQ
32C5 ; [.06CB.0020.0004.0036] [.6708.0020.0004.6708] % IDEOGRAPHIC TELEGRAPH SYMBOL FOR JUNE; COMPATSEQ
335E ; [.06CB.0020.0004.0036] [.70B9.0020.0004.70B9] % IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR SIX; COMPATSEQ
248E ; [.06CC.0020.0004.0037] [*0226.0020.0004.002E] % DIGIT SEVEN FULL STOP; COMPATSEQ
33E6 ; [.06CC.0020.0004.0037] [.65E5.0020.0004.65E5] % IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY SEVEN; COMPATSEQ
32C6 ; [.06CC.0020.0004.0037] [.6708.0020.0004.6708] % IDEOGRAPHIC TELEGRAPH SYMBOL FOR JULY; COMPATSEQ
335F ; [.06CC.0020.0004.0037] [.70B9.0020.0004.70B9] % IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR SEVEN; COMPATSEQ
215E ; [.06CC.0020.001E.0037] [*0266.0020.001E.2044] [.06CD.0020.001E.0038] % VULGAR FRACTION SEVEN EIGHTHS; COMPATSEQ
248F ; [.06CD.0020.0004.0038] [*0226.0020.0004.002E] % DIGIT EIGHT FULL STOP; COMPATSEQ
33E7 ; [.06CD.0020.0004.0038] [.65E5.0020.0004.65E5] % IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY EIGHT; COMPATSEQ
32C7 ; [.06CD.0020.0004.0038] [.6708.0020.0004.6708] % IDEOGRAPHIC TELEGRAPH SYMBOL FOR AUGUST; COMPATSEQ
3360 ; [.06CD.0020.0004.0038] [.70B9.0020.0004.70B9] % IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR EIGHT; COMPATSEQ
2490 ; [.06CE.0020.0004.0039] [*0226.0020.0004.002E] % DIGIT NINE FULL STOP; COMPATSEQ
33E8 ; [.06CE.0020.0004.0039] [.65E5.0020.0004.65E5] % IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY NINE; COMPATSEQ
32C8 ; [.06CE.0020.0004.0039] [.6708.0020.0004.6708] % IDEOGRAPHIC TELEGRAPH SYMBOL FOR SEPTEMBER; COMPATSEQ
3361 ; [.06CE.0020.0004.0039] [.70B9.0020.0004.70B9] % IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR NINE; COMPATSEQ
2100 ; [.06CF.0020.0004.0061] [*0265.0020.0004.002F] [.06F7.0020.0004.0063] % ACCOUNT OF; COMPATSEQ
2101 ; [.06CF.0020.0004.0061] [*0265.0020.0004.002F] [.085D.0020.0004.0073] % ADDRESSED TO THE SUBJECT; COMPATSEQ
1E9A ; [.06CF.0020.000A.0041] [.0907.0020.0004.02BE] % LATIN SMALL LETTER A WITH RIGHT HALF RING; COMPATSEQ
33C2 ; [.06CF.0020.001C.0061] [*0226.0020.001C.002E] [.07E5.0020.001C.006D] [*0226.0020.001C.002E] % SQUARE AM; COMPATSEQ
3373 ; [.06CF.0020.001D.0041] [.088D.0020.001D.0055] % SQUARE AU; COMPATSEQ
3374 ; [.06E3.0020.001C.0062] [.06CF.0020.001C.0061] [.0835.0020.001C.0072] % SQUARE BAR; COMPATSEQ
33C3 ; [.06E3.0020.001D.0042] [.0829.0020.001C.0071] % SQUARE BQ; COMPATSEQ
2105 ; [.06F7.0020.0004.0063] [*0265.0020.0004.002F] [.0805.0020.0004.006F] % CARE OF; COMPATSEQ
2106 ; [.06F7.0020.0004.0063] [*0265.0020.0004.002F] [.088D.0020.0004.0075] % CADA UNA; COMPATSEQ
3388 ; [.06F7.0020.001C.0063] [.06CF.0020.001C.0061] [.07BD.0020.001C.006C] % SQUARE CAL; COMPATSEQ
33C4 ; [.06F7.0020.001C.0063] [.06F7.0020.001C.0063] % SQUARE CC; COMPATSEQ
33C5 ; [.06F7.0020.001C.0063] [.0703.0020.001C.0064] % SQUARE CD; COMPATSEQ
339D ; [.06F7.0020.001C.0063] [.07E5.0020.001C.006D] % SQUARE CM; COMPATSEQ
33A0 ; [.06F7.0020.001C.0063] [.07E5.0020.001C.006D] [.06C7.0020.001C.00B2] % SQUARE CM SQUARED; COMPATSEQ
33A4 ; [.06F7.0020.001C.0063] [.07E5.0020.001C.006D] [.06C8.0020.001C.00B3] % SQUARE CM CUBED; COMPATSEQ
33C6 ; [.06F7.0020.001D.0043] [*0378.0020.001C.2215] [.07B1.0020.001C.006B] [.0753.0020.001C.0067] % SQUARE C OVER KG; COMPATSEQ
33C7 ; [.06F7.0020.001D.0043] [.0805.0020.001C.006F] [*0226.0020.001C.002E] % SQUARE CO; COMPATSEQ
02A3 ; [.0703.0020.0004.0064] [.08C9.0020.0004.007A] % LATIN SMALL LETTER DZ DIGRAPH; COMPATSEQ
01F3 ; [.0703.0020.0004.0064] [.08C9.0020.0004.007A] % LATIN SMALL LETTER DZ; COMPATSEQ
01C6 ; [.0703.0020.0004.0064] [.08C9.0041.0004.017E] % LATIN SMALL LETTER DZ WITH CARON; COMPATSEQ
02A5 ; [.0703.0020.0004.0064] [.08D5.0020.0004.0291] % LATIN SMALL LETTER DZ DIGRAPH WITH CURL; COMPATSEQ
02A4 ; [.0703.0020.0004.0064] [.08D9.0020.0004.0292] % LATIN SMALL LETTER DEZH DIGRAPH; COMPATSEQ
01F2 ; [.0703.0020.000A.0044] [.08C9.0020.0004.007A] % LATIN CAPITAL LETTER D WITH SMALL LETTER Z; COMPATSEQ
01F1 ; [.0703.0020.000A.0044] [.08C9.0020.000A.005A] % LATIN CAPITAL LETTER DZ; COMPATSEQ
01C5 ; [.0703.0020.000A.0044] [.08C9.0041.0004.017E] % LATIN CAPITAL LETTER D WITH SMALL LETTER Z WITH CARON; COMPATSEQ
01C4 ; [.0703.0020.000A.0044] [.08C9.0041.000A.017D] % LATIN CAPITAL LETTER DZ WITH CARON; COMPATSEQ
3372 ; [.0703.0020.001C.0064] [.06CF.0020.001C.0061] % SQUARE DA; COMPATSEQ
33C8 ; [.0703.0020.001C.0064] [.06E3.0020.001D.0042] % SQUARE DB; COMPATSEQ
3397 ; [.0703.0020.001C.0064] [.07BD.0020.001C.2113] % SQUARE DL; COMPATSEQ
FB00 ; [.074B.0020.0004.0066] [.074B.0020.0004.0066] % LATIN SMALL LIGATURE FF; COMPATSEQ
FB03 ; [.074B.0020.0004.0066] [.074B.0020.0004.0066] [.078D.0020.0004.0069] % LATIN SMALL LIGATURE FFI; COMPATSEQ
FB04 ; [.074B.0020.0004.0066] [.074B.0020.0004.0066] [.07BD.0020.0004.006C] % LATIN SMALL LIGATURE FFL; COMPATSEQ
FB01 ; [.074B.0020.0004.0066] [.078D.0020.0004.0069] % LATIN SMALL LIGATURE FI; COMPATSEQ
FB02 ; [.074B.0020.0004.0066] [.07BD.0020.0004.006C] % LATIN SMALL LIGATURE FL; COMPATSEQ
3399 ; [.074B.0020.001C.0066] [.07E5.0020.001C.006D] % SQUARE FM; COMPATSEQ
3387 ; [.0753.0020.001D.0047] [.06E3.0020.001D.0042] % SQUARE GB; COMPATSEQ
3393 ; [.0753.0020.001D.0047] [.0773.0020.001D.0048] [.08C9.0020.001C.007A] % SQUARE GHZ; COMPATSEQ
33AC ; [.0753.0020.001D.0047] [.081D.0020.001D.0050] [.06CF.0020.001C.0061] % SQUARE GPA; COMPATSEQ
33C9 ; [.0753.0020.001D.0047] [.08BD.0020.001C.0079] % SQUARE GY; COMPATSEQ
33CA ; [.0773.0020.001C.0068] [.06CF.0020.001C.0061] % SQUARE HA; COMPATSEQ
3371 ; [.0773.0020.001C.0068] [.081D.0020.001D.0050] [.06CF.0020.001C.0061] % SQUARE HPA; COMPATSEQ
33CB ; [.0773.0020.001D.0048] [.081D.0020.001D.0050] % SQUARE HP; COMPATSEQ
3390 ; [.0773.0020.001D.0048] [.08C9.0020.001C.007A] % SQUARE HZ; COMPATSEQ
2171 ; [.078D.0020.0004.0069] [.078D.0020.0004.0069] % SMALL ROMAN NUMERAL TWO; COMPATSEQ
2172 ; [.078D.0020.0004.0069] [.078D.0020.0004.0069] [.078D.0020.0004.0069] % SMALL ROMAN NUMERAL THREE; COMPATSEQ
0133 ; [.078D.0020.0004.0069] [.07A1.0020.0004.006A] % LATIN SMALL LIGATURE IJ; COMPATSEQ
2173 ; [.078D.0020.0004.0069] [.08A5.0020.0004.0076] % SMALL ROMAN NUMERAL FOUR; COMPATSEQ
2178 ; [.078D.0020.0004.0069] [.08B9.0020.0004.0078] % SMALL ROMAN NUMERAL NINE; COMPATSEQ
2161 ; [.078D.0020.000A.0049] [.078D.0020.000A.0049] % ROMAN NUMERAL TWO; COMPATSEQ
2162 ; [.078D.0020.000A.0049] [.078D.0020.000A.0049] [.078D.0020.000A.0049] % ROMAN NUMERAL THREE; COMPATSEQ
0132 ; [.078D.0020.000A.0049] [.07A1.0020.000A.004A] % LATIN CAPITAL LIGATURE IJ; COMPATSEQ
2163 ; [.078D.0020.000A.0049] [.08A5.0020.000A.0056] % ROMAN NUMERAL FOUR; COMPATSEQ
2168 ; [.078D.0020.000A.0049] [.08B9.0020.000A.0058] % ROMAN NUMERAL NINE; COMPATSEQ
33CC ; [.078D.0020.001C.0069] [.07ED.0020.001C.006E] % SQUARE IN; COMPATSEQ
3384 ; [.07B1.0020.001C.006B] [.06CF.0020.001D.0041] % SQUARE KA; COMPATSEQ
3389 ; [.07B1.0020.001C.006B] [.06F7.0020.001C.0063] [.06CF.0020.001C.0061] [.07BD.0020.001C.006C] % SQUARE KCAL; COMPATSEQ
338F ; [.07B1.0020.001C.006B] [.0753.0020.001C.0067] % SQUARE KG; COMPATSEQ
3391 ; [.07B1.0020.001C.006B] [.0773.0020.001D.0048] [.08C9.0020.001C.007A] % SQUARE KHZ; COMPATSEQ
3398 ; [.07B1.0020.001C.006B] [.07BD.0020.001C.2113] % SQUARE KL; COMPATSEQ
339E ; [.07B1.0020.001C.006B] [.07E5.0020.001C.006D] % SQUARE KM; COMPATSEQ
33A2 ; [.07B1.0020.001C.006B] [.07E5.0020.001C.006D] [.06C7.0020.001C.00B2] % SQUARE KM SQUARED; COMPATSEQ
33A6 ; [.07B1.0020.001C.006B] [.07E5.0020.001C.006D] [.06C8.0020.001C.00B3] % SQUARE KM CUBED; COMPATSEQ
33AA ; [.07B1.0020.001C.006B] [.081D.0020.001D.0050] [.06CF.0020.001C.0061] % SQUARE KPA; COMPATSEQ
33CF ; [.07B1.0020.001C.006B] [.0875.0020.001C.0074] % SQUARE KT; COMPATSEQ
33B8 ; [.07B1.0020.001C.006B] [.08A5.0020.001D.0056] % SQUARE KV; COMPATSEQ
33BE ; [.07B1.0020.001C.006B] [.08B1.0020.001D.0057] % SQUARE KW; COMPATSEQ
33C0 ; [.07B1.0020.001C.006B] [.0951.0020.001D.03A9] % SQUARE K OHM; COMPATSEQ
3385 ; [.07B1.0020.001D.004B] [.06E3.0020.001D.0042] % SQUARE KB; COMPATSEQ
33CD ; [.07B1.0020.001D.004B] [.07B1.0020.001D.004B] % SQUARE KK; COMPATSEQ
33CE ; [.07B1.0020.001D.004B] [.07E5.0020.001D.004D] % SQUARE KM CAPITAL; COMPATSEQ
0140 ; [.07BD.0020.0004.006C] [*0229.0020.0004.00B7] % LATIN SMALL LETTER L WITH MIDDLE DOT; COMPATSEQ
01C9 ; [.07BD.0020.0004.006C] [.07A1.0020.0004.006A] % LATIN SMALL LETTER LJ; COMPATSEQ
013F ; [.07BD.0020.000A.004C] [*0229.0020.0004.00B7] % LATIN CAPITAL LETTER L WITH MIDDLE DOT; COMPATSEQ
01C8 ; [.07BD.0020.000A.004C] [.07A1.0020.0004.006A] % LATIN CAPITAL LETTER L WITH SMALL LETTER J; COMPATSEQ
01C7 ; [.07BD.0020.000A.004C] [.07A1.0020.000A.004A] % LATIN CAPITAL LETTER LJ; COMPATSEQ
33D0 ; [.07BD.0020.001C.006C] [.07E5.0020.001C.006D] % SQUARE LM; COMPATSEQ
33D1 ; [.07BD.0020.001C.006C] [.07ED.0020.001C.006E] % SQUARE LN; COMPATSEQ
33D2 ; [.07BD.0020.001C.006C] [.0805.0020.001C.006F] [.0753.0020.001C.0067] % SQUARE LOG; COMPATSEQ
33D3 ; [.07BD.0020.001C.006C] [.08B9.0020.001C.0078] % SQUARE LX; COMPATSEQ
33A7 ; [.07E5.0020.001C.006D] [*0378.0020.001C.2215] [.085D.0020.001C.0073] % SQUARE M OVER S; COMPATSEQ
33A8 ; [.07E5.0020.001C.006D] [*0378.0020.001C.2215] [.085D.0020.001C.0073] [.06C7.0020.001C.00B2] % SQUARE M OVER S SQUARED; COMPATSEQ
33A1 ; [.07E5.0020.001C.006D] [.06C7.0020.001C.00B2] % SQUARE M SQUARED; COMPATSEQ
33A5 ; [.07E5.0020.001C.006D] [.06C8.0020.001C.00B3] % SQUARE M CUBED; COMPATSEQ
3383 ; [.07E5.0020.001C.006D] [.06CF.0020.001D.0041] % SQUARE MA; COMPATSEQ
33D4 ; [.07E5.0020.001C.006D] [.06E3.0020.001C.0062] % SQUARE MB SMALL; COMPATSEQ
338E ; [.07E5.0020.001C.006D] [.0753.0020.001C.0067] % SQUARE MG; COMPATSEQ
33D5 ; [.07E5.0020.001C.006D] [.078D.0020.001C.0069] [.07BD.0020.001C.006C] % SQUARE MIL; COMPATSEQ
3396 ; [.07E5.0020.001C.006D] [.07BD.0020.001C.2113] % SQUARE ML; COMPATSEQ
339C ; [.07E5.0020.001C.006D] [.07E5.0020.001C.006D] % SQUARE MM; COMPATSEQ
339F ; [.07E5.0020.001C.006D] [.07E5.0020.001C.006D] [.06C7.0020.001C.00B2] % SQUARE MM SQUARED; COMPATSEQ
33A3 ; [.07E5.0020.001C.006D] [.07E5.0020.001C.006D] [.06C8.0020.001C.00B3] % SQUARE MM CUBED; COMPATSEQ
33D6 ; [.07E5.0020.001C.006D] [.0805.0020.001C.006F] [.07BD.0020.001C.006C] % SQUARE MOL; COMPATSEQ
33B3 ; [.07E5.0020.001C.006D] [.085D.0020.001C.0073] % SQUARE MS; COMPATSEQ
33B7 ; [.07E5.0020.001C.006D] [.08A5.0020.001D.0056] % SQUARE MV; COMPATSEQ
33BD ; [.07E5.0020.001C.006D] [.08B1.0020.001D.0057] % SQUARE MW; COMPATSEQ
3386 ; [.07E5.0020.001D.004D] [.06E3.0020.001D.0042] % SQUARE MB; COMPATSEQ
3392 ; [.07E5.0020.001D.004D] [.0773.0020.001D.0048] [.08C9.0020.001C.007A] % SQUARE MHZ; COMPATSEQ
33AB ; [.07E5.0020.001D.004D] [.081D.0020.001D.0050] [.06CF.0020.001C.0061] % SQUARE MPA; COMPATSEQ
33B9 ; [.07E5.0020.001D.004D] [.08A5.0020.001D.0056] % SQUARE MV MEGA; COMPATSEQ
33BF ; [.07E5.0020.001D.004D] [.08B1.0020.001D.0057] % SQUARE MW MEGA; COMPATSEQ
33C1 ; [.07E5.0020.001D.004D] [.0951.0020.001D.03A9] % SQUARE M OHM; COMPATSEQ
01CC ; [.07ED.0020.0004.006E] [.07A1.0020.0004.006A] % LATIN SMALL LETTER NJ; COMPATSEQ
01CB ; [.07ED.0020.000A.004E] [.07A1.0020.0004.006A] % LATIN CAPITAL LETTER N WITH SMALL LETTER J; COMPATSEQ
01CA ; [.07ED.0020.000A.004E] [.07A1.0020.000A.004A] % LATIN CAPITAL LETTER NJ; COMPATSEQ
2116 ; [.07ED.0020.000A.004E] [.0805.0020.0004.006F] % NUMERO SIGN; COMPATSEQ
3381 ; [.07ED.0020.001C.006E] [.06CF.0020.001D.0041] % SQUARE NA; COMPATSEQ
338B ; [.07ED.0020.001C.006E] [.074B.0020.001D.0046] % SQUARE NF; COMPATSEQ
339A ; [.07ED.0020.001C.006E] [.07E5.0020.001C.006D] % SQUARE NM; COMPATSEQ
33B1 ; [.07ED.0020.001C.006E] [.085D.0020.001C.0073] % SQUARE NS; COMPATSEQ
33B5 ; [.07ED.0020.001C.006E] [.08A5.0020.001D.0056] % SQUARE NV; COMPATSEQ
33BB ; [.07ED.0020.001C.006E] [.08B1.0020.001D.0057] % SQUARE NW; COMPATSEQ
3375 ; [.0805.0020.001C.006F] [.08A5.0020.001D.0056] % SQUARE OV; COMPATSEQ
0153 ; [.0805.00FC.0004.006F] [.071F.0020.0004.0065] % LATIN SMALL LIGATURE OE; COMPATSEQ
0152 ; [.0805.00FC.000A.004F] [.071F.0020.000A.0045] % LATIN CAPITAL LIGATURE OE; COMPATSEQ
33D8 ; [.081D.0020.001C.0070] [*0226.0020.001C.002E] [.07E5.0020.001C.006D] [*0226.0020.001C.002E] % SQUARE PM; COMPATSEQ
3380 ; [.081D.0020.001C.0070] [.06CF.0020.001D.0041] % SQUARE PA AMPS; COMPATSEQ
3376 ; [.081D.0020.001C.0070] [.06F7.0020.001C.0063] % SQUARE PC; COMPATSEQ
338A ; [.081D.0020.001C.0070] [.074B.0020.001D.0046] % SQUARE PF; COMPATSEQ
33B0 ; [.081D.0020.001C.0070] [.085D.0020.001C.0073] % SQUARE PS; COMPATSEQ
33B4 ; [.081D.0020.001C.0070] [.08A5.0020.001D.0056] % SQUARE PV; COMPATSEQ
33BA ; [.081D.0020.001C.0070] [.08B1.0020.001D.0057] % SQUARE PW; COMPATSEQ
33A9 ; [.081D.0020.001D.0050] [.06CF.0020.001C.0061] % SQUARE PA; COMPATSEQ
33D7 ; [.081D.0020.001D.0050] [.0773.0020.001D.0048] % SQUARE PH; COMPATSEQ
33D9 ; [.081D.0020.001D.0050] [.081D.0020.001D.0050] [.07E5.0020.001D.004D] % SQUARE PPM; COMPATSEQ
33DA ; [.081D.0020.001D.0050] [.0835.0020.001D.0052] % SQUARE PR; COMPATSEQ
